TIRF Data File: Project 1320; Run 116
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg F	none	SAE
31.180	40.28	382.92	0.014	0.021	24.175	27.908	54.77	-3293.11	13.78	-1469.88	40.77	-52.62	2.24	-0.01	36.71	57.19	62.54	61.53	79.91	-0.134	-0.088
31.200	40.22	380.77	0.016	0.021	24.166	28.026	54.70	-3361.40	-1.98	-1515.71	42.88	-57.83	2.22	0.00	36.67	57.41	62.72	61.72	79.92	-0.138	-0.091
31.220	40.17	378.77	0.013	0.021	24.152	28.135	54.77	-3414.83	-2.72	-1531.98	37.10	-65.21	2.23	0.00	36.67	57.60	62.95	61.95	79.89	-0.142	-0.095
31.240	40.09	377.02	0.014	0.017	24.143	28.213	54.63	-3443.22	12.05	-1537.68	43.70	-70.20	2.24	-0.01	36.87	57.83	63.22	62.13	79.92	-0.144	-0.097
31.260	40.05	375.57	0.016	0.027	24.137	28.296	54.63	-3458.82	11.60	-1534.24	53.86	-66.10	2.25	-0.01	36.65	58.03	63.46	62.30	79.89	-0.147	-0.100
31.280	40.04	374.16	0.019	0.021	24.130	28.392	54.63	-3473.04	16.09	-1520.61	61.48	-51.35	2.28	-0.01	36.61	58.21	63.68	62.47	79.93	-0.150	-0.103
31.300	40.08	373.11	0.021	0.024	24.118	28.499	54.77	-3477.26	26.24	-1488.66	49.61	-39.00	2.34	-0.02	36.51	58.33	63.90	62.62	79.90	-0.154	-0.106
31.320	40.11	371.90	0.013	0.022	24.108	28.615	54.77	-3504.59	37.83	-1480.04	39.75	-45.51	2.37	-0.03	36.67	58.49	64.06	62.76	79.92	-0.158	-0.110
31.340	40.16	370.68	0.016	0.024	24.100	28.745	54.63	-3573.13	23.47	-1508.71	42.09	-56.93	2.37	-0.02	36.71	58.62	64.28	62.89	79.90	-0.162	-0.114
31.360	40.23	369.67	0.013	0.022	24.095	28.875	54.70	-3625.38	5.61	-1546.13	43.44	-58.20	2.34	0.00	36.63	58.78	64.47	63.13	79.91	-0.166	-0.118
31.380	40.32	368.69	0.014	0.027	24.090	29.012	54.63	-3637.39	19.97	-1560.44	38.88	-64.01	2.33	-0.01	36.73	58.94	64.73	63.36	79.93	-0.170	-0.122
31.400	40.35	367.87	0.013	0.021	24.083	29.100	54.70	-3629.53	31.80	-1559.43	42.13	-73.70	2.33	-0.02	36.53	59.14	65.00	63.60	79.89	-0.172	-0.125
31.420	40.41	367.13	0.011	0.024	24.081	29.202	54.77	-3590.86	25.79	-1568.23	55.72	-69.48	2.29	-0.02	36.75	59.29	65.25	63.86	79.93	-0.175	-0.128
31.440	40.48	366.23	0.020	0.022	24.083	29.325	54.70	-3551.32	23.06	-1553.18	58.23	-52.38	2.29	-0.01	36.69	59.41	65.49	64.05	79.89	-0.179	-0.132
31.460	40.59	365.02	0.019	0.028	24.072	29.503	54.77	-3548.64	40.78	-1515.80	46.22	-40.14	2.34	-0.03	36.69	59.50	65.62	64.21	79.92	-0.184	-0.137
31.480	40.69	363.73	0.017	0.027	24.070	29.683	54.70	-3573.13	55.91	-1496.35	38.81	-42.91	2.39	-0.04	36.59	59.58	65.77	64.39	79.90	-0.189	-0.142
31.500	40.77	362.44	0.010	0.018	24.068	29.847	54.70	-3635.17	39.55	-1513.32	40.83	-54.14	2.40	-0.03	36.61	59.71	65.98	64.58	79.92	-0.194	-0.147
31.520	40.83	361.31	0.017	0.028	24.060	29.985	54.83	-3695.65	13.40	-1550.19	45.03	-59.32	2.38	-0.01	36.32	59.83	66.15	64.82	79.92	-0.198	-0.151
31.540	40.88	360.37	0.019	0.025	24.055	30.100	54.97	-3692.80	15.40	-1576.95	44.04	-61.49	2.34	-0.01	36.38	59.96	66.39	65.04	79.90	-0.201	-0.154
